System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,NPR,IM10,E, 
S4423552,PB,IM10,E, 
S4423552,PRC,IM10,E, 
S4423552,PT,IM10,E, 
S4423552,RAD,IM10,E, 
S4423552,RHL,IM10,E, 
S4423552,RQY,IM10,E, 
S4423552,RRL,IM10,E, 
S4423552,RUR,IM10,E, 
S4423552,SIR,IM10,E, 
S4423552,SUE,IM10,E, 
S4423552,S12,IM10,E, 
S4423552,S13,IM10,E, 
S4423552,S14,IM10,E, 
S4423552,TH,IM10,E, 
S4423552,TS,IM10,E, 
S4423552,URP,IM10,E, 
S4423552,WS,IM10,E, 
S4423552,ZZ2,IM10,E, 
S4423552,03C,IM10,E, 
S4423552,11C,IM10,E, 
S4423552,14C,IM10,E, 
S4423552,15C,IM10,E, 
S4423552,17C,IM10,E, 
S4423552,19C,IM10,E, 
S4423552,24C,IM10,E, 
S4423552,25C,IM10,E, 
S4423552,26C,IM10,E, 
S4423552,27C,IM10,E, 
S4423552,28C,IM10,E, 
S4423552,29C,IM10,E, 
S4423552,30C,IM10,E, 
S4423552,31C,IM10,E, 
S4423552,32C,IM10,E, 
S4423552,33C,IM10,E, 
S4423552,35C,IM10,E, 
S4423552,37C,IM10,E, 
S4423552,41C,IM10,E, 
S4423552,46C,IM10,E, 
S4423552,47C,IM10,E, 
S4423552,48C,IM10,E, 
S4423552,49C,IM10,E, 
S4423552,52C,IM10,E, 
S4423552,53C,IM10,E, 
S4423552,54C,IM10,E, 
S4423552,AE,INMO,E,E
S4423552,ENQ,INMO,E,E
S4423552,ITB,INMO,E,E
S4423552,KAA,INMO,E,E
S4423552,TH,INMO,E,E
S4423552,YDI,INMO,E,E
S4423552,/DC,INPR,P,P
S4423552,/RU,INPR,P,P
S4423552,ADS,INPR,P,P
S4423552,ADW,INPR,P,P
S4423552,AE,INPR,P,P
S4423552,AGI,INPR,P,P
S4423552,AMS,INPR,P,P
S4423552,API,INPR,P,P
S4423552,AS,INPR,P,P
S4423552,ASE,INPR,P,P
S4423552,CDE,INPR,P,P
S4423552,CMM,INPR,P,P
S4423552,CPI,INPR,P,P
S4423552,CRE,INPR,P,P
S4423552,CSI,INPR,P,P
S4423552,DCI,INPR,P,P
S4423552,DE,INPR,P,P
S4423552,DEE,INPR,P,P
S4423552,DII,INPR,P,P
S4423552,DSI,INPR,P,P
S4423552,ERR,INPR,P,P
S4423552,FSC,INPR,P,P
S4423552,FSI,INPR,P,P
S4423552,MAB,INPR,P,P
S4423552,MDI,INPR,P,P
S4423552,MDW,INPR,P,P
S4423552,MIC,INPR,P,P
S4423552,MMM,INPR,P,P
S4423552,MPI,INPR,P,P
S4423552,MSI,INPR,P,P
S4423552,NLE,INPR,P,P
S4423552,NRE,INPR,P,P
S4423552,OCA,INPR,P,P
S4423552,PRC,INPR,P,P
S4423552,PSI,INPR,P,P
S4423552,SQA,INPR,P,P
S4423552,TAS,INPR,P,P
